Price,Close,High,Low,Open,Volume
Ticker,CLEO.JK,CLEO.JK,CLEO.JK,CLEO.JK,CLEO.JK
Date,,,,,
2022-01-03,227.15167236328125,232.08975219726562,224.18882446289064,231.10213623046874,3641000
2022-01-04,222.21359252929688,227.15167236328125,221.2259765625,227.15167236328125,6572200
2022-01-05,221.22598266601562,223.20121465410503,219.2507506779262,222.2135986600603,4178600
2022-01-06,222.21359252929688,222.21359252929688,219.25074462890626,222.21359252929688,7457200
2022-01-07,222.21359252929688,222.21359252929688,219.25074462890626,222.21359252929688,4375200
2022-01-10,220.23837280273438,222.21360484580822,218.2631407596605,222.21360484580822,6590200
2022-01-11,218.2631378173828,221.22598584205318,217.27552180915936,220.23836983382972,5677400
2022-01-12,219.25074768066406,220.2383636612076,217.27551571957702,218.26313170012054,5612200
2022-01-13,219.25074768066406,219.25074768066406,218.26313170012054,219.25074768066406,1488600
2022-01-14,219.25074768066406,219.25074768066406,216.28789973903346,219.25074768066406,8777800
2022-01-17,218.2631378173828,219.25075382560627,216.2879058009359,219.25075382560627,6294600
2022-01-18,217.27552795410156,218.26314399025657,214.31267984563655,218.26314399025657,6218000
2022-01-19,216.2879180908203,218.26315021950361,214.31268596213704,216.2879180908203,6434000
2022-01-20,216.2879180908203,216.2879180908203,213.32506989779537,216.2879180908203,4270200
2022-01-21,214.3126678466797,216.28789980840023,213.3250518658194,216.28789980840023,5949200
2022-01-24,214.3126678466797,216.28789980840023,213.3250518658194,215.30028382753994,4079800
2022-01-25,212.3374481201172,214.31268019565314,211.3498320823492,214.31268019565314,8623400
2022-01-26,210.36219787597656,212.3374297809153,209.37458192350718,212.3374297809153,5179200
2022-01-27,209.3745880126953,210.36220399388728,207.3993560503114,210.36220399388728,4904400
2022-01-28,210.36219787597656,210.36219787597656,208.3869659710378,209.37458192350718,7226400
2022-01-31,209.3745880126953,210.36220399388728,207.3993560503114,210.36220399388728,4177000
2022-02-02,211.34983825683594,211.34983825683594,208.38699005697376,209.37460612359448,7999200
2022-02-03,209.3745880126953,211.34981997507924,208.38697203150335,211.34981997507924,4849200
2022-02-04,210.36219787597656,210.36219787597656,208.3869659710378,210.36219787597656,4268800
2022-02-07,208.386962890625,210.36219476636552,208.386962890625,210.36219476636552,7140000
2022-02-08,208.386962890625,209.37457882849526,207.39934695275474,208.386962890625,7161000
2022-02-09,210.36219787597656,210.36219787597656,207.39935001856844,208.3869659710378,16813000
2022-02-10,213.32504272460938,214.31265866314922,210.3621949089898,210.3621949089898,19487800
2022-02-11,213.32504272460938,216.28789054022894,212.3374267860695,213.32504272460938,11356800
2022-02-14,209.3745880126953,213.32505193746314,209.3745880126953,213.32505193746314,15468000
2022-02-15,213.32504272460938,213.32504272460938,209.37457897044993,210.3621949089898,10062200
2022-02-16,214.3126678466797,214.3126678466797,212.33743588495912,213.3250518658194,7899400
2022-02-17,217.27552795410156,218.26314399025657,212.33744777332655,214.31267984563655,17372400
2022-02-18,219.25074768066406,219.25074768066406,216.28789973903346,217.27551571957702,17075000
2022-02-21,218.2631378173828,219.25075382560627,214.312673784489,219.25075382560627,13365400
2022-02-22,217.27552795410156,218.26314399025657,215.30029588179156,218.26314399025657,13564000
2022-02-23,218.2631378173828,220.23836983382972,214.312673784489,217.27552180915936,12490600
2022-02-24,217.27552795410156,218.26314399025657,212.33744777332655,218.26314399025657,13707800
2022-02-25,219.25074768066406,219.25074768066406,216.28789973903346,217.27551571957702,14504200
2022-03-01,218.2631378173828,220.23836983382972,217.27552180915936,219.25075382560627,13069600
2022-03-02,215.30029296875,219.25075705991972,215.30029296875,218.2631410371273,8985000
2022-03-04,213.32504272460938,217.2755064787688,208.38696303191008,215.3002746016891,12818800
2022-03-07,208.386962890625,213.3250425799763,206.41173101488448,213.3250425799763,10715600
2022-03-08,205.4241180419922,208.38696589836707,203.44888613774228,208.38696589836707,15254200
2022-03-09,209.3745880126953,210.36220399388728,204.43650810673552,205.42412408792748,19365000
2022-03-10,211.34983825683594,212.33745432345665,209.37460612359448,209.37460612359448,15803000
2022-03-11,210.36219787597656,210.36219787597656,207.39935001856844,210.36219787597656,10676400
2022-03-14,210.36219787597656,210.36219787597656,208.3869659710378,209.37458192350718,11184600
2022-03-15,206.41175842285156,211.34983876789585,205.42414235384268,210.362222698887,13836000
2022-03-16,208.386962890625,209.37457882849526,205.42411507701422,206.41173101488448,15902200
2022-03-17,209.3745880126953,210.36220399388728,207.3993560503114,208.38697203150335,11770800
2022-03-18,209.3745880126953,209.3745880126953,207.3993560503114,209.3745880126953,9527600
2022-03-21,208.386962890625,209.37457882849526,207.39934695275474,209.37457882849526,6958800
2022-03-22,209.3745880126953,209.3745880126953,208.38697203150335,208.38697203150335,8942200
2022-03-23,210.36219787597656,212.3374297809153,209.37458192350718,209.37458192350718,13993800
2022-03-24,210.36219787597656,211.34981382844592,209.37458192350718,210.36219787597656,8554400
2022-03-25,210.36219787597656,212.3374297809153,209.37458192350718,210.36219787597656,9869000
2022-03-28,215.30029296875,215.30029296875,210.36221285478786,210.36221285478786,15681200
2022-03-29,216.2879180908203,218.26315021950361,214.31268596213704,215.30030202647868,10666200
2022-03-30,213.32504272460938,216.28789054022894,211.34981084752965,216.28789054022894,11303800
2022-03-31,214.3126678466797,214.3126678466797,212.33743588495912,213.3250518658194,11677000
2022-04-01,213.32504272460938,214.31265866314922,212.3374267860695,214.31265866314922,6919800
2022-04-04,218.2631378173828,220.23836983382972,213.32505777626557,214.312673784489,21195400
2022-04-05,218.2631378173828,220.23836983382972,216.2879058009359,218.2631378173828,13614800
2022-04-06,215.30029296875,218.2631410371273,214.31267694595758,218.2631410371273,9945800
2022-04-07,213.32504272460938,215.3002746016891,211.34981084752965,215.3002746016891,11584000
